ID  ,Compound                                                  ,Class   ,CAS       ,Mass ,CP-Wax,CW-20M,DB-1701,DB-Wax,DB1,HP1,OV-101,OV-1701,SE5,SP-Wax,SP-Wax10,SPB-1,Odour       ,almond,burnt,ID <Link>                                               
54  ,2-acetyl-4-methylthiophene                                ,        ,          ,140  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=54 
55  ,2-[(methyldithio)methyl]furan (2-furfurylmethyl disulfide),        ,          ,160  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=55 
56  ,"2-ethyl-5-methyl-1,2,3-trithiolane"                      ,        ,          ,166  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=56 
57  ,2-butyl-5-ethylthiophene                                  ,        ,          ,168  ,1489  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=57 
58  ,"3-methyl-1,2,4-trithiane"                                ,        ,          ,152  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=58 
59  ,decanol                                                   ,        ,          ,158  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=59 
60  ,2-hexylthiophene                                          ,        ,          ,168  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=60 
61  ,2-octylfuran                                              ,        ,          ,180  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=61 
62  ,"(E,E)-2,4-decadienal"                                    ,        ,          ,152  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=62 
63  ,undecanol                                                 ,        ,          ,172  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=63 
64  ,2-heptylthiophene                                         ,        ,          ,182  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=64 
65  ,dodecanol                                                 ,        ,          ,186  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=65 
66  ,2-octylthiophene                                          ,        ,          ,196  ,      ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=66 
67  ,4-methyl-2-pentanone                                      ,        ,          ,100  ,1012  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=67 
68  ,2-methyl-5-ethylfuran                                     ,        ,          ,110  ,1020  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=68 
69  ,2-propylfuran                                             ,        ,          ,110  ,1021  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=69 
70  ,methyl pentanoate                                         ,        ,          ,116  ,1069  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=70 
